settlement_id,canonical_name,aliases_in_book,settlement_type,latitude,longitude,coordinate_note,coordinate_precision,coordinate_source_url,wikidata_id,wikidata_url,wikipedia_url,wikidata_description,entity_resolution_score,occupation_start_year,occupation_end_year,occupation_interval_display,occupation_qualifier,occupation_basis,curation_note,mention_paragraph_count,sections_mentioned,first_source_line,last_source_line
S129,Onondaga town,Onondaga town,historical settlement,,,intentionally unlocated; the book does not specify a recoverable location,unlocated,,,,,,,,,unknown to unknown,unknown,book evidence,Traditional narrative names a town but does not provide a recoverable location or occupation interval.,1,Chapter 11: Full Circle,4184,4184
S130,Merv,Merv,ancient city,37.6627,62.1891,ancient urban complex centroid,site centroid,https://en.wikipedia.org/wiki/Merv,,,,,,-3000,1800,3000 BCE to 1800 CE,c.,reference synthesis,,1,Chapter 8: Imaginary Cities,2900,2900
S131,Fort Michilimackinac,Michilimackinac|Fort Michilimackinac,fortified trading settlement,45.786,-84.7278,fort and trading settlement site,site centroid,https://en.wikipedia.org/wiki/Fort_Michilimackinac,,,,,,1715,1781,1715 CE to 1781 CE,c.,reference synthesis,The text calls it a French fort in a place named Michilimackinac.,2,Chapter 11: Full Circle | Chapter 2: Wicked Liberty,681,4174
S132,Mound Key (Calos),Calos|Mound Key,shell-mound capital,26.019,-81.995,Calusa capital on Mound Key in Estero Bay,site centroid,https://www.floridastateparks.org/parks-and-trails/mound-key-archaeological-state-park,,,,,,500,1700,500 CE to 1700 CE,c.,reference synthesis,The text names Calos and identifies the surviving archaeological complex as Mound Key.,3,"Chapter 4: Free People, the Origin of Cultures, and the Advent of Private Property",1527,1556
S133,Arslantepe,Arslantepe,regional centre,38.382023,38.36119,archaeological mound centroid,site centroid,https://www.archatlas.org/atlas/visualisations/panoramas/arslantepe/,,,,,,-6000,700,6000 BCE to 700 CE,c.,reference synthesis,The book describes fourth-millennium settlement and later occupation at the mound.,4,Chapter 8: Imaginary Cities | Notes to Chapter 10: Why the State Has No Origin,2884,5700
S134,Tell al-'Ubaid,Tell al-‘Ubaid|Tell al-'Ubaid|Tell al-Ubaid,archaeological settlement,30.97231,46.03063,archaeological tell centroid,site centroid,https://mapcarta.com/N5179254511,,,,,,-6500,-2500,6500 BCE to 2500 BCE,c.,reference synthesis,,1,Chapter 10: Why the State Has No Origin,3739,3739
S135,Herakleopolis,Herakleopolis|Heracleopolis,ancient city,29.08554,30.934549,ancient city at Ihnasya el-Medina,site centroid,https://www.trismegistos.org/geo/detail.php?tm=801,,,,,,-2500,700,2500 BCE to 700 CE,c.,reference synthesis,,1,Chapter 10: Why the State Has No Origin,3696,3696
S136,Hefat (El-Mo'alla),Hefat|El-Mo’alla|El-Mo'alla,ancient town,25.475,32.55,approximate ancient Hefat/modern El-Mo'alla location,historical core,https://egyptology.yale.edu/expeditions/past-and-joint-projects/moalla-survey-project,,,,,,-2200,-1900,2200 BCE to 1900 BCE,c.,book plus reference synthesis,Ancient Hefat is conventionally associated with El-Mo'alla; the identification is not entirely certain.,2,Chapter 10: Why the State Has No Origin,3698,3700
S137,Hor-mer,Hor-mer,ancient town,,,intentionally unlocated; the book does not specify a recoverable location,unlocated,,,,,,,-2181,-2055,2181 BCE to 2055 BCE,First Intermediate Period,book evidence,The quoted inscription names the town but its recoverable coordinates remain unresolved.,1,Chapter 10: Why the State Has No Origin,3700,3700
S138,Dholavira,Dholavira,ancient city,23.888408,70.213303,UNESCO World Heritage property reference point,site centroid,https://whc.unesco.org/en/list/1645/,Q9468,https://www.wikidata.org/wiki/Q9468,https://en.wikipedia.org/wiki/Dholavira,"archaeological site in Kutch, Gujarat in western India",100.0,-3000,-1500,3000 BCE to 1500 BCE,c.,reference synthesis,The book identifies Dholavira as a town and separately discusses its surviving street sign.,3,Chapter 8: Imaginary Cities | Notes to Chapter 8: Imaginary Cities,2909,5510
S139,Panga ya Saidi,Panga ya Saidi,cave habitation and burial site,-3.678333,39.736016,archaeological cave site reference point,site centroid,https://doi.org/10.1073/pnas.1522714113,Q53443604,https://www.wikidata.org/wiki/Q53443604,https://en.wikipedia.org/wiki/Panga_ya_Saidi,"archaeological cave site in Kilifi County, Kenya",100.0,-78000,1600,78000 BCE to 1600 CE,"intermittent, c.",reference synthesis,The book calls it a Kenyan cave site; archaeological deposits document intermittent occupation from the Middle Stone Age into the Iron Age.,1,Chapter 3: Unfreezing the Ice Age,995,995
S140,Başur Höyük,Başur Höyük,settlement and cemetery,37.98,41.779,archaeological mound reference point,approximate site,https://www.wikidata.org/wiki/Q6100419,Q6100419,https://www.wikidata.org/wiki/Q6100419,https://en.wikipedia.org/wiki/Ba%C5%9Fur_H%C3%B6y%C3%BCk,"archaeological mound in Siirt Province, Turkey",100.0,-7000,1300,7000 BCE to 1300 CE,"intermittent, c.",reference synthesis,The book names its Early Bronze Age cemetery; the mound also preserves a much longer sequence of settlement.,2,Chapter 8: Imaginary Cities | Notes to Chapter 8: Imaginary Cities,2890,5498
S141,Ounotisaston,Ounotisaston|Ounontisaston,historical capital settlement,,,intentionally unlocated; the book does not specify a recoverable location,unlocated,,,,,,,1610,1651,1610 CE to 1651 CE,c.,book plus reference synthesis,The book names the Attiwandaronk capital; its proposed identification with the Walker Site remains uncertain.,1,Chapter 11: Full Circle,4220,4220
S142,Kienuka,Kienuka,fortified historical settlement,43.164,-78.96,approximate position on the Niagara Escarpment within the Tuscarora Nation Reservation,approximate site,https://museum.dmna.ny.gov/forts/kienuka,,,,,,1300,1687,1300 CE to 1687 CE,"intermittent, c.",book plus reference synthesis,The book describes the Jigonsaseh's traditional fortified seat; archaeology indicates prehistoric and later historic occupations.,1,Chapter 11: Full Circle,4238,4238
S143,Fort Frontenac,Fort Frontenac|Fort Cataraqui,fortified trading settlement,44.233333333,-76.478611111,historic fort and trading-settlement site,site centroid,https://www.pc.gc.ca/apps/dfhd/page_nhs_eng.aspx?id=392,Q515965,https://www.wikidata.org/wiki/Q515965,https://en.wikipedia.org/wiki/Fort_Frontenac,"historic fort and trading settlement in Kingston, Ontario, Canada",100.0,1673,1812,1673 CE to 1812 CE,c.,reference synthesis,The book names the fortified meeting place; it also functioned as a garrisoned trading settlement.,1,Chapter 11: Full Circle,4240,4240
S144,Crow Creek,Crow Creek,fortified village and burial site,43.98,-99.331667,Crow Creek archaeological village site,site centroid,https://en.wikipedia.org/wiki/Crow_Creek_massacre,,,,,,900,1350,900 CE to 1350 CE,"intermittent, c.",reference synthesis,The note names its mass grave; the underlying archaeological site was a fortified village with multiple occupations.,1,Notes to Chapter 12: Conclusion,6208,6208
